company_name,website,city,sector,latitude,longitude,verification_status,description,funding_stage,founding_year,source_url,source_name,geocode_status
Academix,https://www.academix.in,Ahmedabad,AI,23.021537,72.580057,verified,Academix aims to skill Indian youth and make them familiar with the requirements of today's corporate world.,,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
Advait Theragnostics Pvt Ltd,http://www.advaitdx.com,Ahmedabad,AI,23.038517,72.558575,verified,Singh Academix aims to skill Indian youth and make them familiar with the requirements of today's corporate world.,,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
Aerobotics7,https://www.aerobotics7.com,Ahmedabad,AI,23.021537,72.580057,verified,Aerobotics is a tech-based startup that is designing and developing life-saving drones with the aim of making lives more comfortable through advanced and innovative products.,,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
AerotechUAV,https://www.aerobotics7.com,Ahmedabad,IoT,23.021537,72.580057,verified,Zala Aerobotics is a tech-based startup that is designing and developing life-saving drones with the aim of making lives more comfortable through advanced and innovative products.,,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
AltMat Pvt Ltd,http://www.altmat.in,Ahmedabad,AI,23.038517,72.558575,verified,Kanani Alpino is a brand which brings everything from fitness supplements to health essentials under one roof. Their ultimate goal is to influence people towards leading a healthier lifestyle and a more natural routine with Alpino.,,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
AMB Industries Inc,http://www.ambindustriesinc.com,Ahmedabad,CleanTech,22.756011,72.334848,verified,"AMB works towards developing unique energy solutions with the potential to solve the energy generation problem throughout the world, and is working on water battery and vedic super-capacitors, among other things.",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
Ankpal Technologies Private Limited,https://ankpal.com,Ahmedabad,SaaS,23.043046,72.679007,verified,"Bhatt AMB works towards developing unique energy solutions with the potential to solve the energy generation problem throughout the world, and is working on water battery and vedic super-capacitors, among other things.",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
Arion Techsol,https://ariontechsol.com,Ahmedabad,IoT,23.105867,72.593745,verified,"Patel Ariso is building a transparency and insight-driven platform (called 'Meal Intelligence') that helps people make intelligent, healthy and tasty food related decisions",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
Barna Traders Pvt. Ltd.,https://tickles.in,Ahmedabad,Other,23.014836,72.566124,verified,"Solanki Competition for water resources is expected to increase in the future, with particular pressure on agriculture. AIIS is incorporated keeping the those arising needs in mind and aims to maximize “consumptive water use”. Barna Traders Pvt. Ltd. Founder: Darshan Doshi The startup makes premium cloth-based reusable, skin-friendly and easily decomposable diapers for kids.",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
Bebe Burp,https://bebeburp.com,Ahmedabad,AI,23.022081,72.577341,verified,"Bebe Burp emulates traditional homemade recipes into healthy and organic natural baby food, and makes them conveniently available in jars. The said baby food is free from preservatives and artificial flavours.",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
Bloodcheck,http://bloodcheck.in,Ahmedabad,HealthTech,23.021537,72.580057,verified,"Kulshreshtha ""The startup is working on an eco-friendly glove specially designed for long-term use and has a sanitising system fitted inside. Bloodcheck Founder: Chirag Kothari BloodCheck is Aggregating The Fragmented Diagnostic Sector In India and helps customers to identify local diagnostic test providers(Laboratories), with the best combination of low price and high quality diagnostic services.",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
ClaimKar,https://claimkar.com,Ahmedabad,AI,23.021537,72.580057,verified,"ClaimKar is Revenue Cycle Management intiative focusing on credit business of hospitals, providing insurance tie-up to billing to posting and audits to realisation of revenue to settlement is being provided from hospitals.",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
CCTECH Health & Env Pvt Ltd.,https://crooze.app,Ahmedabad,HealthTech,22.994762,72.614101,verified,"Parmar ClaimKar is Revenue Cycle Management intiative focusing on credit business of hospitals, providing insurance tie-up to billing to posting and audits to realisation of revenue to settlement is being provided from hospitals.",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
DealIndia,http://www.dronenation.in,Ahmedabad,AI,23.021537,72.580057,verified,"Chadalavada The startup is an agency working to build a SaaS that helps content creators on YouTube redistribute their content on various social media platforms easily with the click of a button. DealIndia Founder: Jigar Upadhyay Deal India is a platform for manufacturers, distributors, and retailers to get in contact with each other directly by exploring, discovering, and creating opportunities for multiple segments of the supply chain.",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
Dialoguein,https://dialoguein.com,Ahmedabad,SaaS,23.021537,72.580057,verified,"Dialoguein is a vertical topic-based moderated community for curated and premium knowledge focused content with peer network recognition. We are bringing content creators and influencers to connect at a deeper level with aspirants and learners. Users can earn points and cash rewards for their contributions to the platform. We are building a safe online space for people to engage in inclusive dialogues. Our current focus verticals are Literature, Food and Music.",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
eResto,http://www.youngmonk.co,Ahmedabad,AI,23.021537,72.580057,verified,"Shah The startup is a research & development company solving real world problems with Applied science & industry4.0 techno solutions, dealing with Robotics & Automation Solutions, Mechanical Design & Fabrication and Prototyping Services [ 3d printing, PCB Design, Code ] eResto Founder: Kapil Gohel The startup aims to serve as a SaaS-based complete Restaurant Resource Planning and Management Solution. ...",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
Episodic Labs,http://www.youngmonk.co,Ahmedabad,AI,23.028475,72.530169,verified,Episodic Labs is building its first revolutionary sensor-enabled product that will forever transform how professional cricketers train and practice.,,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
FarmFluence,https://www.farmfluence.in,Ahmedabad,AgriTech,23.021537,72.580057,verified,"Built on Digital IoT communication protocols, Farmfluence uses industrial grade sensors that use WiFi/3G/4G connectivity to enable seamless monitoring and control.",,,https://gusec.edu.in/startups/,GUSEC Incubated Startups Directory,verified
